Hip desired,Hip actual,Knee desired,Knee actual,Ankle desired,Ankle actual,M_term Hip,M_term Knee,M_term Ankle
-2.09288,-1.91134,-1.6431,-0.920388,0.520683,0.207087,2.16307,0.857106,0.0946502
-2.0981,-1.91134,-1.6504,-0.920388,0.519374,0.207087,2.15858,0.855048,0.0943988
-2.1075,-1.91134,-1.65967,-0.920388,0.521583,0.207087,2.15354,0.852751,0.0941192
-2.12319,-1.91134,-1.66659,-0.920388,0.516582,0.207087,2.14794,0.850205,0.0938114
-2.13636,-1.91134,-1.78302,-1.22718,0.517038,0.207087,2.14201,0.84762,0.0934779
-2.15998,-1.91134,-1.78884,-1.22718,0.369484,0.207087,2.13528,0.844583,0.0931137
-2.18259,-1.91134,-1.79458,-1.22718,0.377784,0.207087,2.128,0.841303,0.0927212
-2.20706,-1.91134,-1.79781,-1.22718,0.3799,0.207087,2.12016,0.837774,0.0923005
-2.22986,-1.91134,-1.80509,-1.22718,0.38616,0.207087,2.11176,0.834006,0.0918516
-2.24981,-1.91134,-1.81435,-1.22718,0.409023,0.207087,2.1028,0.829987,0.0913746
-2.26501,-1.91134,-1.83223,-1.22718,0.433833,0.207087,2.0933,0.825744,0.0908696
-2.27927,-1.91134,-1.84956,-1.22718,0.462224,0.207087,2.08325,0.821258,0.0903365
-2.29445,-1.91134,-1.86548,-1.22718,0.482461,0.207087,2.07264,0.81653,0.0897754
-2.30492,-1.91134,-1.88399,-1.22718,0.499333,0.207087,2.06149,0.811565,0.0891864
-2.31581,-1.91134,-1.90106,-1.22718,0.510276,0.207087,2.04978,0.806359,0.0885694
-2.32701,-1.91134,-1.9171,-1.22718,0.512154,0.207087,2.03753,0.800912,0.0879245
-2.33612,-1.91134,-1.93288,-1.22718,0.510723,0.207087,2.02472,0.795224,0.0872518
-2.34641,-1.91134,-1.9454,-1.22718,0.508081,0.207087,2.01137,0.789292,0.0865513
-2.35796,-1.91134,-1.95826,-1.22718,0.504805,0.207087,1.99747,0.78312,0.0858231
-2.36824,-1.91134,-1.97122,-1.22718,0.504265,0.207087,1.98302,0.776712,0.0850674
-2.46142,-2.18439,-1.96838,-1.22718,0.505804,0.207087,1.96803,0.770061,0.0842842
-2.47229,-2.18439,-1.98235,-1.22718,0.504783,0.207087,1.95251,0.763181,0.0834737
-2.48419,-2.18439,-1.99141,-1.22718,0.506102,0.207087,1.93645,0.756054,0.0826358
-2.49437,-2.18439,-2.0017,-1.22718,0.508491,0.207087,1.91984,0.748693,0.0817707
-2.50832,-2.18439,-2.01457,-1.22718,0.509426,0.207087,1.90272,0.741107,0.0808788
-2.5282,-2.18439,-2.02529,-1.22718,0.512745,0.207087,1.88506,0.733284,0.0799599
-2.55075,-2.18439,-2.03413,-1.22718,0.512226,0.207087,1.86688,0.725226,0.0790143
-2.57866,-2.18439,-2.04251,-1.22718,0.50989,0.207087,1.84817,0.716939,0.078042
-2.60425,-2.18439,-2.05393,-1.22718,0.51136,0.207087,1.82895,0.708432,0.0770434
-2.62885,-2.18439,-2.0631,-1.22718,0.5091,0.207087,1.80922,0.699694,0.0760185
-2.65393,-2.18439,-2.07243,-1.22718,0.510265,0.207087,1.78897,0.690732,0.0749675
-2.67581,-2.18439,-2.07934,-1.22718,0.507689,0.207087,1.76821,0.681542,0.0738905
-2.69704,-2.18439,-2.08859,-1.22718,0.509912,0.207087,1.74696,0.672138,0.0727878
-2.71612,-2.18439,-2.09626,-1.22718,0.508388,0.207087,1.7252,0.66251,0.0716596
-2.73193,-2.18439,-2.10162,-1.22718,0.506696,0.207087,1.70295,0.65266,0.0705059
-2.74742,-2.18439,-2.11279,-1.22718,0.508482,0.207087,1.68021,0.642605,0.0693271
-2.76279,-2.18439,-2.12175,-1.22718,0.505273,0.207087,1.65699,0.632333,0.0681234
-2.77452,-2.18439,-2.12666,-1.22718,0.505758,0.207087,1.63327,0.621838,0.0668948
-2.78917,-2.18439,-2.1372,-1.22718,0.507118,0.207087,1.60909,0.611145,0.0656418
-2.88501,-2.45744,-2.1318,-1.22718,0.507708,0.207087,1.58444,0.60024,0.0643644
-2.89571,-2.45744,-2.13825,-1.22718,0.504253,0.207087,1.55931,0.589126,0.063063
-2.90724,-2.45744,-2.15027,-1.22718,0.505206,0.207087,1.53373,0.577819,0.0617378
-2.91975,-2.45744,-2.15982,-1.22718,0.503409,0.207087,1.5077,0.566306,0.060389
-2.93363,-2.45744,-2.16976,-1.22718,0.499641,0.207087,1.48121,0.554597,0.0590169
-2.95122,-2.45744,-2.17528,-1.22718,0.500043,0.207087,1.45427,0.542679,0.0576216
-2.97448,-2.45744,-2.18035,-1.22718,0.496769,0.207087,1.42689,0.53057,0.0562035
-2.99913,-2.45744,-2.19023,-1.22718,0.493444,0.207087,1.39909,0.518281,0.0547631
-3.10704,-2.73049,-2.18162,-1.22718,0.490659,0.207087,1.37086,0.505793,0.0533002
-3.13147,-2.73049,-2.19139,-1.22718,0.489535,0.207087,1.34221,0.493129,0.0518154
-3.14713,-2.73049,-2.30846,-1.53398,0.490458,0.207087,1.31329,0.480442,0.050311
-3.16592,-2.73049,-2.31035,-1.53398,0.342421,0.207087,1.2838,0.467399,0.0487831
-3.18635,-2.73049,-2.31723,-1.53398,0.348234,0.207087,1.25392,0.454187,0.0472341
-3.21136,-2.73049,-2.32446,-1.53398,0.353997,0.207087,1.22365,0.440802,0.0456644
-3.23924,-2.73049,-2.33247,-1.53398,0.360609,0.207087,1.19298,0.427244,0.0440743
-3.26727,-2.73049,-2.34001,-1.53398,0.381954,0.207087,1.16192,0.413507,0.0424638
-3.37983,-3.00353,-2.34318,-1.53398,0.411861,0.207087,1.1305,0.399618,0.0408336
-3.40711,-3.00353,-2.35937,-1.53398,0.439235,0.207087,1.09871,0.385566,0.039184
-3.43095,-3.00353,-2.37514,-1.53398,0.460632,0.207087,1.06656,0.371352,0.037515
-3.45204,-3.00353,-2.39527,-1.53398,0.472628,0.207087,1.03406,0.356991,0.0358273
-3.47417,-3.00353,-2.40894,-1.53398,0.477322,0.207087,1.00121,0.342464,0.0341209
-3.4989,-3.00353,-2.42677,-1.53398,0.47785,0.207087,0.968016,0.327796,0.0323964
-3.52592,-3.00353,-2.44405,-1.53398,0.474155,0.207087,0.934494,0.312979,0.0306541
-3.55529,-3.00353,-2.45735,-1.53398,0.468889,0.207087,0.900642,0.298013,0.0288944
-3.58385,-3.00353,-2.47053,-1.53398,0.465066,0.207087,0.866473,0.282906,0.0271177
-3.61094,-3.00353,-2.48343,-1.53398,0.463247,0.207087,0.831993,0.26766,0.0253242
-3.63542,-3.00353,-2.49442,-1.53398,0.462829,0.207087,0.797208,0.252276,0.0235144
-3.73924,-3.27658,-2.4922,-1.53398,0.465731,0.207087,0.762129,0.23676,0.0216887
-3.7598,-3.27658,-2.50316,-1.53398,0.466208,0.207087,0.726764,0.221116,0.0198475
-3.7795,-3.27658,-2.51217,-1.53398,0.469087,0.207087,0.691117,0.205344,0.017991
-3.79332,-3.27658,-2.52211,-1.53398,0.47268,0.207087,0.655199,0.18945,0.0161196
-3.80981,-3.27658,-2.53304,-1.53398,0.47289,0.207087,0.619021,0.173441,0.0142342
-3.83027,-3.27658,-2.5377,-1.53398,0.472305,0.207087,0.582583,0.157306,0.0123344
-3.85644,-3.27658,-2.54969,-1.53398,0.471591,0.207087,0.545906,0.141072,0.0104213
-3.88324,-3.27658,-2.56183,-1.53398,0.472002,0.207087,0.508993,0.124731,0.00849502
-3.91197,-3.27658,-2.56854,-1.53398,0.470918,0.207087,0.471848,0.108281,0.00655589
-3.93953,-3.27658,-2.57819,-1.53398,0.471027,0.207087,0.434486,0.0917348,0.00460449
-3.96515,-3.27658,-2.59078,-1.53398,0.47235,0.207087,0.396916,0.0750972,0.00264126
-4.07367,-3.54963,-2.58279,-1.53398,0.472799,0.207087,0.359139,0.058358,0.000666396
-4.09212,-3.54963,-2.59332,-1.53398,0.472548,0.207087,0.321173,0.041538,-0.0013194
-4.11039,-3.54963,-2.6041,-1.53398,0.472175,0.207087,0.283023,0.0246342,-0.00331579
-4.1274,-3.54963,-2.61544,-1.53398,0.473009,0.207087,0.244698,0.00765054,-0.00532236
-4.14311,-3.54963,-2.62714,-1.53398,0.469766,0.207087,0.206208,-0.00940918,-0.00733865
-4.16105,-3.54963,-2.63956,-1.53398,0.468893,0.207087,0.167561,-0.026541,-0.00936422
-4.17931,-3.54963,-2.7541,-1.84078,0.467735,0.207087,0.128788,-0.0436577,-0.0113973
-4.20372,-3.54963,-2.76417,-1.84078,0.317335,0.207087,0.0898525,-0.0609229,-0.0134398
-4.31195,-3.82268,-2.75334,-1.84078,0.323884,0.207087,0.0507856,-0.0782577,-0.0154907
-4.33347,-3.82268,-2.76223,-1.84078,0.331528,0.207087,0.0115994,-0.0956443,-0.0175492
-4.35732,-3.82268,-2.77103,-1.84078,0.335271,0.207087,-0.0276956,-0.113082,-0.0196145
-4.37862,-3.82268,-2.78537,-1.84078,0.352934,0.207087,-0.067091,-0.130565,-0.0216863
-4.40033,-3.82268,-2.80018,-1.84078,0.377937,0.207087,-0.106578,-0.148094,-0.0237643
-4.42244,-3.82268,-2.82098,-1.84078,0.39952,0.207087,-0.146148,-0.16566,-0.0258481
-4.44882,-3.82268,-2.84058,-1.84078,0.411586,0.207087,-0.18579,-0.183261,-0.0279371
-4.47755,-3.82268,-2.85854,-1.84078,0.420742,0.207087,-0.225495,-0.200895,-0.0300308
-4.50338,-3.82268,-2.87848,-1.84078,0.423052,0.207087,-0.265255,-0.218555,-0.0321286
-4.52839,-3.82268,-2.89458,-1.84078,0.424672,0.207087,-0.305059,-0.236241,-0.0342306
-4.54776,-3.82268,-2.90463,-1.84078,0.422395,0.207087,-0.344893,-0.25395,-0.0363357
-4.64802,-4.09573,-2.90223,-1.84078,0.422932,0.207087,-0.384754,-0.271673,-0.0384438
-4.66583,-4.09573,-2.91595,-1.84078,0.422917,0.207087,-0.424629,-0.289404,-0.0405539
-4.68072,-4.09573,-2.92985,-1.84078,0.42488,0.207087,-0.46451,-0.307143,-0.0426662
-4.69521,-4.09573,-2.94176,-1.84078,0.426963,0.207087,-0.504384,-0.324885,-0.0447796
-4.70564,-4.09573,-2.95201,-1.84078,0.428738,0.207087,-0.54424,-0.342627,-0.0468938
-4.72331,-4.09573,-2.96519,-1.84078,0.42981,0.207087,-0.584075,-0.360363,-0.0490088
-4.7443,-4.09573,-2.9757,-1.84078,0.429627,0.207087,-0.623871,-0.378088,-0.0511234
-4.76874,-4.09573,-2.98847,-1.84078,0.430543,0.207087,-0.663625,-0.395798,-0.0532373
-4.79407,-4.09573,-2.99913,-1.84078,0.430798,0.207087,-0.703323,-0.413491,-0.0553506
-4.81974,-4.09573,-3.01198,-1.84078,0.432638,0.207087,-0.742958,-0.431159,-0.057462
-4.84285,-4.09573,-3.0229,-1.84078,0.430304,0.207087,-0.782516,-0.448801,-0.0595713
-4.86357,-4.09573,-3.02648,-1.84078,0.429007,0.207087,-0.821981,-0.466414,-0.0616782
-4.88543,-4.09573,-3.03743,-1.84078,0.431647,0.207087,-0.86136,-0.483988,-0.063782
-4.98929,-4.36878,-3.0312,-1.84078,0.430594,0.207087,-0.900632,-0.501523,-0.0658823
-5.00598,-4.36878,-3.04005,-1.84078,0.430281,0.207087,-0.93979,-0.519014,-0.0679786
-5.01105,-4.36878,-3.03357,-1.84078,0.430775,0.207087,-0.978799,-0.536459,-0.0700705
-5.02095,-4.36878,-3.04376,-1.84078,0.431482,0.207087,-1.0177,-0.553848,-0.0721573
-5.03317,-4.36878,-3.05169,-1.84078,0.429321,0.207087,-1.05645,-0.57118,-0.0742387
-5.04856,-4.36878,-3.0618,-1.84078,0.426948,0.207087,-1.09505,-0.588449,-0.0763141
-5.15382,-4.64183,-3.16311,-2.14757,0.42695,0.207087,-1.13362,-0.605649,-0.078383
-5.1756,-4.64183,-3.16817,-2.14757,0.278456,0.207087,-1.17188,-0.622787,-0.0804451
-5.19798,-4.64183,-3.16676,-2.14757,0.283882,0.207087,-1.20995,-0.63985,-0.0824998
-5.2202,-4.64183,-3.17313,-2.14757,0.291193,0.207087,-1.24785,-0.656837,-0.084547
-5.24395,-4.64183,-3.17969,-2.14757,0.297131,0.207087,-1.28553,-0.67374,-0.0865855
-5.27264,-4.64183,-3.18877,-2.14757,0.312946,0.207087,-1.32301,-0.690556,-0.0886151
-5.30292,-4.64183,-3.20008,-2.14757,0.338461,0.207087,-1.36026,-0.707281,-0.0906353
-5.33512,-4.64183,-3.21431,-2.14757,0.359541,0.207087,-1.39729,-0.723914,-0.0926462
-5.36507,-4.64183,-3.23005,-2.14757,0.372489,0.207087,-1.43408,-0.740448,-0.0946468
-5.39109,-4.64183,-3.24305,-2.14757,0.379824,0.207087,-1.47062,-0.75688,-0.0966367
-5.41692,-4.64183,-3.25825,-2.14757,0.378809,0.207087,-1.50692,-0.773208,-0.0986158
-5.43806,-4.64183,-3.27268,-2.14757,0.374877,0.207087,-1.54294,-0.789425,-0.100583
-5.45265,-4.64183,-3.28433,-2.14757,0.367985,0.207087,-1.57869,-0.805528,-0.102539
-5.46935,-4.64183,-3.29704,-2.14757,0.368787,0.207087,-1.61415,-0.821512,-0.104481
-5.48275,-4.64183,-3.30976,-2.14757,0.368383,0.207087,-1.64931,-0.837372,-0.10641
-5.49365,-4.64183,-3.32041,-2.14757,0.3712,0.207087,-1.68417,-0.853107,-0.108326
-5.5888,-4.91487,-3.31591,-2.14757,0.375962,0.207087,-1.71871,-0.868709,-0.110228
-5.59655,-4.91487,-3.3269,-2.14757,0.378593,0.207087,-1.75292,-0.884177,-0.112115
-5.60547,-4.91487,-3.33061,-2.14757,0.381789,0.207087,-1.78679,-0.899504,-0.113987
-5.6073,-4.91487,-3.34066,-2.14757,0.385122,0.207087,-1.82032,-0.91469,-0.115844
-5.61649,-4.91487,-3.35009,-2.14757,0.38686,0.207087,-1.8535,-0.92973,-0.117685
-5.63139,-4.91487,-3.35428,-2.14757,0.387753,0.207087,-1.88632,-0.944618,-0.11951
-5.65016,-4.91487,-3.36354,-2.14757,0.387325,0.207087,-1.91877,-0.959355,-0.121318
-5.67488,-4.91487,-3.3691,-2.14757,0.386732,0.207087,-1.95084,-0.973932,-0.123108
-5.7872,-5.18792,-3.3542,-2.14757,0.387245,0.207087,-1.98252,-0.988346,-0.124882
-5.80791,-5.18792,-3.36081,-2.14757,0.387539,0.207087,-2.01381,-1.0026,-0.126637
-5.82879,-5.18792,-3.3665,-2.14757,0.387788,0.207087,-2.0447,-1.01668,-0.128373
-5.84716,-5.18792,-3.37232,-2.14757,0.387508,0.207087,-2.07518,-1.03059,-0.130091
-5.8642,-5.18792,-3.37838,-2.14757,0.38613,0.207087,-2.10524,-1.04433,-0.13179
-5.88451,-5.18792,-3.38398,-2.14757,0.386791,0.207087,-2.13488,-1.05789,-0.133469
-5.90509,-5.18792,-3.3832,-2.14757,0.38476,0.207087,-2.16405,-1.07126,-0.135127
-5.92771,-5.18792,-3.38932,-2.14757,0.384034,0.207087,-2.19281,-1.08444,-0.136765
-6.00508,-5.46097,-3.3757,-2.14757,0.383779,0.207087,-2.22109,-1.09744,-0.138383
-6.02363,-5.46097,-3.38189,-2.14757,0.38149,0.207087,-2.24894,-1.11025,-0.139978
-6.03952,-5.46097,-3.38086,-2.14757,0.381177,0.207087,-2.27629,-1.12285,-0.141553
-6.05417,-5.46097,-3.38441,-2.14757,0.378632,0.207087,-2.30319,-1.13526,-0.143104
-6.06828,-5.46097,-3.39046,-2.14757,0.378198,0.207087,-2.32962,-1.14747,-0.144634
-6.08281,-5.46097,-3.38953,-2.14757,0.373804,0.207087,-2.35553,-1.15947,-0.146141
-6.10686,-5.46097,-3.39231,-2.14757,0.372834,0.207087,-2.38097,-1.17127,-0.147624
-6.13071,-5.46097,-3.39747,-2.14757,0.370431,0.207087,-2.40591,-1.18285,-0.149085
-6.15335,-5.46097,-3.40013,-2.14757,0.366955,0.207087,-2.43033,-1.19422,-0.15052
-6.17431,-5.46097,-3.39117,-2.14757,0.366615,0.207087,-2.45419,-1.20536,-0.151932
-6.1937,-5.46097,-3.38869,-2.14757,0.36511,0.207087,-2.47755,-1.21628,-0.153319
-6.20974,-5.46097,-3.38598,-2.14757,0.36263,0.207087,-2.50038,-1.22698,-0.15468
-6.22372,-5.46097,-3.38875,-2.14757,0.357084,0.207087,-2.5227,-1.23747,-0.156017
-6.23498,-5.46097,-3.39414,-2.14757,0.356729,0.207087,-2.54448,-1.24773,-0.157328
-6.24133,-5.46097,-3.39325,-2.14757,0.354795,0.207087,-2.56568,-1.25774,-0.158613
-6.24886,-5.46097,-3.39685,-2.14757,0.350209,0.207087,-2.58636,-1.26753,-0.159871
-6.25578,-5.46097,-3.40317,-2.14757,0.34721,0.207087,-2.60647,-1.27708,-0.161103
-6.26096,-5.46097,-3.40744,-2.14757,0.344934,0.207087,-2.62602,-1.2864,-0.162308
-6.26841,-5.46097,-3.51606,-2.45437,0.34058,0.207087,-2.64533,-1.29557,-0.163489
-6.26549,-5.46097,-3.52101,-2.45437,0.192348,0.207087,-2.66374,-1.30441,-0.16464
-6.26967,-5.46097,-3.51605,-2.45437,0.195483,0.207087,-2.68152,-1.31298,-0.165762
-6.26816,-5.46097,-3.52191,-2.45437,0.199533,0.207087,-2.69875,-1.32132,-0.166856
-6.35709,-5.73402,-3.51084,-2.45437,0.203562,0.207087,-2.71539,-1.32941,-0.167922
-6.35947,-5.73402,-3.51156,-2.45437,0.218232,0.207087,-2.7314,-1.33723,-0.168959
-6.35772,-5.73402,-3.5265,-2.45437,0.23368,0.207087,-2.74685,-1.34482,-0.169967
-6.35743,-5.73402,-3.53693,-2.45437,0.249518,0.207087,-2.76167,-1.35214,-0.170947
-6.36007,-5.73402,-3.55398,-2.45437,0.25345,0.207087,-2.77593,-1.35922,-0.171897
-6.36724,-5.73402,-3.56913,-2.45437,0.252621,0.207087,-2.78957,-1.36604,-0.172819
-6.29418,-5.46097,-3.59484,-2.45437,0.241895,0.207087,-2.80256,-1.37259,-0.173709
-6.31032,-5.46097,-3.60025,-2.45437,0.231458,0.207087,-2.81492,-1.37887,-0.17457
-6.32408,-5.46097,-3.60713,-2.45437,0.219493,0.207087,-2.82667,-1.38489,-0.1754
-6.33662,-5.46097,-3.61549,-2.45437,0.211726,0.207087,-2.8378,-1.39065,-0.176199
-6.34736,-5.46097,-3.62334,-2.45437,0.207678,0.207087,-2.84829,-1.39613,-0.176967
-6.34993,-5.46097,-3.63151,-2.45437,0.206973,0.207087,-2.85813,-1.40135,-0.177705
